ocel:eid,ocel:activity,ocel:timestamp,ocel:event_type,ocel:event_class,ocel:attr:stream:id,ocel:attr:stream:source,ocel:attr:stream:value,ocel:attr:concept:name,ocel:type:case_object
9c974418-f4cf-44af-b42f-0c2c62a3e06e,Disinfect injection site,2024-09-12 10:53:00.194000+01:00,Disinfect injection site,iot_event,Disinfect injection site,Patient Left,Start,s2s1,['trace_deb619e7']
4283172f-63b4-499e-80fd-153ef2764056,Disinfect injection site,2024-09-12 10:53:14.595000+01:00,Disinfect injection site,iot_event,Disinfect injection site,Patient Left,End,s2s1,['trace_deb619e7']
da64e394-5c6e-40d0-8a06-37cb9695e4aa,Insert needle,2024-09-12 10:53:16.614000+01:00,Insert needle,iot_event,Insert needle,Patient Left,Start,s2s1,['trace_deb619e7']
04fbcfaa-bc2e-4162-8397-a13f0ae8ef34,Insert needle,2024-09-12 10:53:27.450000+01:00,Insert needle,iot_event,Insert needle,Patient Left,End,s2s1,['trace_deb619e7']
6e9072a3-1f77-44bf-8615-37d25f5be95c,Remove tourniquet,2024-09-12 10:53:28.703000+01:00,Remove tourniquet,iot_event,Remove tourniquet,Patient Left,Start,s2s1,['trace_deb619e7']
b44f3d0e-9877-484b-96cf-4b133dc09cef,Remove tourniquet,2024-09-12 10:53:39.105000+01:00,Remove tourniquet,iot_event,Remove tourniquet,Patient Left,End,s2s1,['trace_deb619e7']
e75690f0-1092-4632-80c6-5b000b542925,Start blood drawing machine,2024-09-12 10:53:39.701000+01:00,Start blood drawing machine,iot_event,Start blood drawing machine,Patient Left,Start,s2s1,['trace_deb619e7']
cdd9848b-7566-4f29-b11d-ffa4a1cd79b5,Start blood drawing machine,2024-09-12 10:53:42.865000+01:00,Start blood drawing machine,iot_event,Start blood drawing machine,Patient Left,End,s2s1,['trace_deb619e7']
e9f40b4f-363e-45bb-aecd-c6b53e8ab530,Monitor patient,2024-09-12 10:53:43.936000+01:00,Monitor patient,iot_event,Monitor patient,Patient Left,Start,s2s1,['trace_deb619e7']
c452a24c-24cc-4813-b0e3-fa007886acb8,Monitor patient,2024-09-12 10:53:57.391000+01:00,Monitor patient,iot_event,Monitor patient,Patient Left,End,s2s1,['trace_deb619e7']
8f29b592-2403-4d9c-b916-ec3527255fa4,Stop blood drawing machine,2024-09-12 10:54:00.331000+01:00,Stop blood drawing machine,iot_event,Stop blood drawing machine,Patient Left,Start,s2s1,['trace_deb619e7']
1c96b0b3-22a5-4338-8e2c-38e4c6e232e6,Stop blood drawing machine,2024-09-12 10:54:04.314000+01:00,Stop blood drawing machine,iot_event,Stop blood drawing machine,Patient Left,End,s2s1,['trace_deb619e7']
debe242b-7ec3-44b4-8394-221d5d75e85a,Remove needle,2024-09-12 10:54:05.991000+01:00,Remove needle,iot_event,Remove needle,Patient Left,Start,s2s1,['trace_deb619e7']
928f36b6-a8bb-429a-aacc-e4faaa51b76c,Remove needle,2024-09-12 10:54:26.274000+01:00,Remove needle,iot_event,Remove needle,Patient Left,End,s2s1,['trace_deb619e7']
2cb75903-bed5-4fe1-8c18-9bec20356fc5,Remove gloves and hand hygiene,2024-09-12 10:54:29.414000+01:00,Remove gloves and hand hygiene,iot_event,Remove gloves and hand hygiene,Patient Left,Start,s2s1,['trace_deb619e7']
0220d08a-215f-4baf-ab28-ca1e6b6dd7a8,Remove gloves and hand hygiene,2024-09-12 10:54:55.637000+01:00,Remove gloves and hand hygiene,iot_event,Remove gloves and hand hygiene,Patient Left,End,s2s1,['trace_deb619e7']
233699fe-9184-45bb-9e2e-0a6651d38977,Donor check-out,2024-09-12 10:54:56.448000+01:00,Donor check-out,iot_event,Donor check-out,Patient Left,Start,s2s1,['trace_deb619e7']
27d93bd7-5443-4dc3-a05c-3b4caa8a05f3,Donor check-out,2024-09-12 10:54:58.735000+01:00,Donor check-out,iot_event,Donor check-out,Patient Left,End,s2s1,['trace_deb619e7']
4b59f09d-4dd6-4373-9f94-424c334881bb,Take out samples,2024-09-12 10:55:02.286000+01:00,Take out samples,iot_event,Take out samples,Patient Left,Start,s2s1,['trace_deb619e7']
32887771-c07f-45fb-9c40-c2ef4ff48b6e,Take out samples,2024-09-12 10:55:12.576000+01:00,Take out samples,iot_event,Take out samples,Patient Left,End,s2s1,['trace_deb619e7']
0af2311f-2037-4f24-a322-48f36ce43657,Hand hygiene,2024-09-12 10:55:13.783000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,Start,s2s1,['trace_deb619e7']
9d8a90ac-295e-4886-8b5e-d92b4ae58e91,Hand hygiene,2024-09-12 10:55:37.393000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,End,s2s1,['trace_deb619e7']
0eb1a8fe-b21d-4687-b52c-56dc0548ee5a,HCW check-out,2024-09-12 10:55:38.269000+01:00,HCW check-out,iot_event,HCW check-out,Patient Left,Start,s2s1,['trace_deb619e7']
d9b4a346-d09f-4332-b0a6-1a6bb0b3a4f5,HCW check-out,2024-09-12 10:55:40.724000+01:00,HCW check-out,iot_event,HCW check-out,Patient Left,End,s2s1,['trace_deb619e7']
ef299950-6581-4eb0-ab0a-c6e6d62f006f,Donor check-in,2024-09-12 10:57:44.415000+01:00,Donor check-in,iot_event,Donor check-in,Patient Left,Start,s2s2,['trace_2a5eb72c']
4209b0b8-789e-4fba-a9af-cd16b8492d8d,Donor check-in,2024-09-12 10:57:46.729000+01:00,Donor check-in,iot_event,Donor check-in,Patient Left,End,s2s2,['trace_2a5eb72c']
a4234fbb-d28b-4beb-995e-ba25e665de0f,HCW check-in,2024-09-12 10:57:51.466000+01:00,HCW check-in,iot_event,HCW check-in,Patient Left,Start,s2s2,['trace_2a5eb72c']
acf15f65-4130-4e2c-a2b0-5bf665e1af83,HCW check-in,2024-09-12 10:57:55.782000+01:00,HCW check-in,iot_event,HCW check-in,Patient Left,End,s2s2,['trace_2a5eb72c']
0eb03c19-b5f5-40af-9924-27f7ab21c59e,Hand hygiene,2024-09-12 10:57:58.029000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,Start,s2s2,['trace_2a5eb72c']
48f9a38b-ef26-4286-a1d1-7da9a941f993,Hand hygiene,2024-09-12 10:58:11.312000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,End,s2s2,['trace_2a5eb72c']
47dc273d-0817-4079-8964-f01d2d8f7f7c,Check blood drawing machine,2024-09-12 10:58:12.223000+01:00,Check blood drawing machine,iot_event,Check blood drawing machine,Patient Left,Start,s2s2,['trace_2a5eb72c']
99d0dfc4-b567-473d-b51a-6d6cef5ae826,Check blood drawing machine,2024-09-12 10:58:15.201000+01:00,Check blood drawing machine,iot_event,Check blood drawing machine,Patient Left,End,s2s2,['trace_2a5eb72c']
378cc6c1-81d0-45f5-8783-a62263f9dd54,Apply tourniquet,2024-09-12 10:58:16.738000+01:00,Apply tourniquet,iot_event,Apply tourniquet,Patient Left,Start,s2s2,['trace_2a5eb72c']
fb3b3924-4328-4f84-a29f-2ca3808bbc31,Apply tourniquet,2024-09-12 10:58:23.070000+01:00,Apply tourniquet,iot_event,Apply tourniquet,Patient Left,End,s2s2,['trace_2a5eb72c']
784c0f19-60d1-40a2-9751-3b51c0811075,Hand hygiene and wear gloves,2024-09-12 10:58:26.496000+01:00,Hand hygiene and wear gloves,iot_event,Hand hygiene and wear gloves,Patient Left,Start,s2s2,['trace_2a5eb72c']
36d1a3e9-315a-441d-95bd-0d0a4302f791,Hand hygiene and wear gloves,2024-09-12 10:59:05.416000+01:00,Hand hygiene and wear gloves,iot_event,Hand hygiene and wear gloves,Patient Left,End,s2s2,['trace_2a5eb72c']
8b4ad651-fe7f-4807-8195-b987d0e68a5c,Disinfect injection site,2024-09-12 10:59:06.025000+01:00,Disinfect injection site,iot_event,Disinfect injection site,Patient Left,Start,s2s2,['trace_2a5eb72c']
1ffc80d3-dfe2-4253-9dea-323decd122db,Disinfect injection site,2024-09-12 10:59:18.416000+01:00,Disinfect injection site,iot_event,Disinfect injection site,Patient Left,End,s2s2,['trace_2a5eb72c']
51f9bc62-c40c-4a25-99eb-32cd481ba76d,Insert needle,2024-09-12 10:59:20.169000+01:00,Insert needle,iot_event,Insert needle,Patient Left,Start,s2s2,['trace_2a5eb72c']
6511804c-cb04-4bf8-9607-487a62763cc4,Insert needle,2024-09-12 10:59:29.117000+01:00,Insert needle,iot_event,Insert needle,Patient Left,End,s2s2,['trace_2a5eb72c']
ab292d37-68a6-4d4e-bf0c-0a7905c08ba7,Remove tourniquet,2024-09-12 10:59:30.084000+01:00,Remove tourniquet,iot_event,Remove tourniquet,Patient Left,Start,s2s2,['trace_2a5eb72c']
64296a91-e8cf-4053-a52a-beac4fb475ed,Remove tourniquet,2024-09-12 10:59:33.364000+01:00,Remove tourniquet,iot_event,Remove tourniquet,Patient Left,End,s2s2,['trace_2a5eb72c']
2696e487-72c5-4b86-a18e-624cb1265096,Start blood drawing machine,2024-09-12 10:59:36.256000+01:00,Start blood drawing machine,iot_event,Start blood drawing machine,Patient Left,Start,s2s2,['trace_2a5eb72c']
bc54cebb-a89d-420c-acd3-81172d573307,Start blood drawing machine,2024-09-12 10:59:40.422000+01:00,Start blood drawing machine,iot_event,Start blood drawing machine,Patient Left,End,s2s2,['trace_2a5eb72c']
c0c64eb9-8d72-4093-a52e-bfbabac9d8fd,Monitor patient,2024-09-12 10:59:43.467000+01:00,Monitor patient,iot_event,Monitor patient,Patient Left,Start,s2s2,['trace_2a5eb72c']
54b6e754-752b-485d-9960-80e97a31a0ce,Monitor patient,2024-09-12 10:59:49.976000+01:00,Monitor patient,iot_event,Monitor patient,Patient Left,End,s2s2,['trace_2a5eb72c']
131deb4c-4537-466e-b9f3-5b867005cd24,Stop blood drawing machine,2024-09-12 10:59:53.635000+01:00,Stop blood drawing machine,iot_event,Stop blood drawing machine,Patient Left,Start,s2s2,['trace_2a5eb72c']
e5508a96-0b83-4f19-a60d-2b941d35a77e,Stop blood drawing machine,2024-09-12 10:59:54.971000+01:00,Stop blood drawing machine,iot_event,Stop blood drawing machine,Patient Left,End,s2s2,['trace_2a5eb72c']
cdbbc011-9768-4131-b0f0-a86ca40a5ddb,Remove needle,2024-09-12 10:59:57.807000+01:00,Remove needle,iot_event,Remove needle,Patient Left,Start,s2s2,['trace_2a5eb72c']
3fb15aa7-9eee-4be2-a935-a578a658d33e,Remove needle,2024-09-12 11:00:11.106000+01:00,Remove needle,iot_event,Remove needle,Patient Left,End,s2s2,['trace_2a5eb72c']
affbbefe-1946-4d53-8c9e-ce07c7fda69d,Remove gloves and hand hygiene,2024-09-12 11:00:16.107000+01:00,Remove gloves and hand hygiene,iot_event,Remove gloves and hand hygiene,Patient Left,Start,s2s2,['trace_2a5eb72c']
1ff23d4b-a011-4b47-88a5-42ed20c37f02,Remove gloves and hand hygiene,2024-09-12 11:00:37.548000+01:00,Remove gloves and hand hygiene,iot_event,Remove gloves and hand hygiene,Patient Left,End,s2s2,['trace_2a5eb72c']
097b423d-1eca-479a-9608-21ae1596516e,Donor check-out,2024-09-12 11:00:38.776000+01:00,Donor check-out,iot_event,Donor check-out,Patient Left,Start,s2s2,['trace_2a5eb72c']
73a80692-abcd-4928-8a02-51b8928df855,Donor check-out,2024-09-12 11:00:41.080000+01:00,Donor check-out,iot_event,Donor check-out,Patient Left,End,s2s2,['trace_2a5eb72c']
511c4637-d7f3-4999-a5cd-b0332739e5a1,Take out samples,2024-09-12 11:00:45.365000+01:00,Take out samples,iot_event,Take out samples,Patient Left,Start,s2s2,['trace_2a5eb72c']
5975b071-1705-4458-ac9e-570ba8fed85f,Take out samples,2024-09-12 11:00:52.670000+01:00,Take out samples,iot_event,Take out samples,Patient Left,End,s2s2,['trace_2a5eb72c']
d32125fc-dc01-4386-adc6-44665069e99f,Hand hygiene,2024-09-12 11:00:57.369000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,Start,s2s2,['trace_2a5eb72c']
08e13b85-1d0b-49a3-81f5-aece04737b66,Hand hygiene,2024-09-12 11:01:06.044000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,End,s2s2,['trace_2a5eb72c']
2c27229f-9660-462b-a8e6-ca383bd4184a,HCW check-out,2024-09-12 11:01:07.159000+01:00,HCW check-out,iot_event,HCW check-out,Patient Left,Start,s2s2,['trace_2a5eb72c']
137ca0f6-cf51-45a5-a8a6-bc7a73ba7bbc,HCW check-out,2024-09-12 11:01:10.026000+01:00,HCW check-out,iot_event,HCW check-out,Patient Left,End,s2s2,['trace_2a5eb72c']
3b05abee-35db-456e-a9bd-9e35dddbd796,Donor check-in,2024-09-12 11:03:16.245000+01:00,Donor check-in,iot_event,Donor check-in,Patient Left,Start,s2s3,['trace_9b3e62a0']
7270237b-6f44-4ec4-8160-5f5764d5601e,Donor check-in,2024-09-12 11:03:18.774000+01:00,Donor check-in,iot_event,Donor check-in,Patient Left,End,s2s3,['trace_9b3e62a0']
bed344e3-fbed-4785-8ea7-892db6f55ce0,HCW check-in,2024-09-12 11:03:22.130000+01:00,HCW check-in,iot_event,HCW check-in,Patient Left,Start,s2s3,['trace_9b3e62a0']
fb05ab3a-20d3-4a48-981c-1cda28b4fc0d,HCW check-in,2024-09-12 11:03:26.567000+01:00,HCW check-in,iot_event,HCW check-in,Patient Left,End,s2s3,['trace_9b3e62a0']
4e9af6ad-f3e2-4600-aa94-01ec0fb9d759,Hand hygiene,2024-09-12 11:03:27.803000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,Start,s2s3,['trace_9b3e62a0']
b20aa70d-e89c-438d-b665-f6d22d3f92e6,Hand hygiene,2024-09-12 11:03:39.834000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,End,s2s3,['trace_9b3e62a0']
c8c3b4c8-cafb-480a-b382-5f69b0fabd72,Check blood drawing machine,2024-09-12 11:03:41.358000+01:00,Check blood drawing machine,iot_event,Check blood drawing machine,Patient Left,Start,s2s3,['trace_9b3e62a0']
1d12bc33-4dd8-443d-869d-8abeac8286be,Check blood drawing machine,2024-09-12 11:03:45.771000+01:00,Check blood drawing machine,iot_event,Check blood drawing machine,Patient Left,End,s2s3,['trace_9b3e62a0']
583c5bec-21ba-4199-8b79-6191a3e6e435,Apply tourniquet,2024-09-12 11:03:50.708000+01:00,Apply tourniquet,iot_event,Apply tourniquet,Patient Left,Start,s2s3,['trace_9b3e62a0']
21dd967b-bff6-4e3f-bd41-58460f83f387,Apply tourniquet,2024-09-12 11:03:54.902000+01:00,Apply tourniquet,iot_event,Apply tourniquet,Patient Left,End,s2s3,['trace_9b3e62a0']
c9f60d49-f016-4233-884d-0e4f4c8cdcd0,Hand hygiene and wear gloves,2024-09-12 11:03:56.228000+01:00,Hand hygiene and wear gloves,iot_event,Hand hygiene and wear gloves,Patient Left,Start,s2s3,['trace_9b3e62a0']
5769ef99-a82a-4ef1-9cbf-038a3c0ba82c,Hand hygiene and wear gloves,2024-09-12 11:04:37.406000+01:00,Hand hygiene and wear gloves,iot_event,Hand hygiene and wear gloves,Patient Left,End,s2s3,['trace_9b3e62a0']
a57ff34f-22dc-4c32-a8fe-202a04136846,Disinfect injection site,2024-09-12 11:04:38.085000+01:00,Disinfect injection site,iot_event,Disinfect injection site,Patient Left,Start,s2s3,['trace_9b3e62a0']
53440804-9669-451b-9485-19e74683444f,Disinfect injection site,2024-09-12 11:04:51.568000+01:00,Disinfect injection site,iot_event,Disinfect injection site,Patient Left,End,s2s3,['trace_9b3e62a0']
6ac84bac-334f-49bc-9459-7984d8c419d6,Insert needle,2024-09-12 11:04:56.415000+01:00,Insert needle,iot_event,Insert needle,Patient Left,Start,s2s3,['trace_9b3e62a0']
3aa2c404-0c22-4f16-badd-e8a9c02458cd,Insert needle,2024-09-12 11:05:06.143000+01:00,Insert needle,iot_event,Insert needle,Patient Left,End,s2s3,['trace_9b3e62a0']
543c7df5-bc79-44b5-a6fe-7dc7708e8b49,Remove tourniquet,2024-09-12 11:05:08.320000+01:00,Remove tourniquet,iot_event,Remove tourniquet,Patient Left,Start,s2s3,['trace_9b3e62a0']
a5ee3e66-d66a-4760-ba65-a65bc2d37d83,Remove tourniquet,2024-09-12 11:05:12.675000+01:00,Remove tourniquet,iot_event,Remove tourniquet,Patient Left,End,s2s3,['trace_9b3e62a0']
b7b9d0f8-c5eb-4c73-a29b-0d267867265b,Start blood drawing machine,2024-09-12 11:05:13.785000+01:00,Start blood drawing machine,iot_event,Start blood drawing machine,Patient Left,Start,s2s3,['trace_9b3e62a0']
49f16d0c-26e4-4aae-b62a-f6599c1a01ac,Start blood drawing machine,2024-09-12 11:05:22.138000+01:00,Start blood drawing machine,iot_event,Start blood drawing machine,Patient Left,End,s2s3,['trace_9b3e62a0']
6a1e4731-df16-4fde-ad04-dde6d8f2ae6d,Monitor patient,2024-09-12 11:05:25.356000+01:00,Monitor patient,iot_event,Monitor patient,Patient Left,Start,s2s3,['trace_9b3e62a0']
45b88102-2bf6-472c-98b8-858866c4641b,Monitor patient,2024-09-12 11:05:29.522000+01:00,Monitor patient,iot_event,Monitor patient,Patient Left,End,s2s3,['trace_9b3e62a0']
1eed7602-d0dc-41fc-9d9b-baefddf2530d,Stop blood drawing machine,2024-09-12 11:05:30.976000+01:00,Stop blood drawing machine,iot_event,Stop blood drawing machine,Patient Left,Start,s2s3,['trace_9b3e62a0']
67f4cdaa-cd70-478b-97a1-11f56a5398d7,Stop blood drawing machine,2024-09-12 11:05:34.314000+01:00,Stop blood drawing machine,iot_event,Stop blood drawing machine,Patient Left,End,s2s3,['trace_9b3e62a0']
5333da5f-b6a7-4bd7-8bff-955e8a4bfb66,Remove needle,2024-09-12 11:05:36.872000+01:00,Remove needle,iot_event,Remove needle,Patient Left,Start,s2s3,['trace_9b3e62a0']
f5a1329d-294e-44fd-8ec9-a4ddb1324c08,Remove needle,2024-09-12 11:05:47.839000+01:00,Remove needle,iot_event,Remove needle,Patient Left,End,s2s3,['trace_9b3e62a0']
3c2d2204-23d7-44b3-9f21-ce80f37837d5,Remove gloves and hand hygiene,2024-09-12 11:05:49.716000+01:00,Remove gloves and hand hygiene,iot_event,Remove gloves and hand hygiene,Patient Left,Start,s2s3,['trace_9b3e62a0']
b98adc61-79ee-4a41-a405-a910d41021b2,Remove gloves and hand hygiene,2024-09-12 11:06:09.200000+01:00,Remove gloves and hand hygiene,iot_event,Remove gloves and hand hygiene,Patient Left,End,s2s3,['trace_9b3e62a0']
1e38500f-985e-479d-88ad-e97154795057,Donor check-out,2024-09-12 11:06:10.849000+01:00,Donor check-out,iot_event,Donor check-out,Patient Left,Start,s2s3,['trace_9b3e62a0']
35e86c45-b6a3-46fc-a2bb-ff1161783107,Donor check-out,2024-09-12 11:06:12.647000+01:00,Donor check-out,iot_event,Donor check-out,Patient Left,End,s2s3,['trace_9b3e62a0']
6596f5d5-6496-433e-b610-5e9aa91b0114,Take out samples,2024-09-12 11:06:14.200000+01:00,Take out samples,iot_event,Take out samples,Patient Left,Start,s2s3,['trace_9b3e62a0']
e71eeb0f-cafd-45ad-8cdf-0aa744511521,Take out samples,2024-09-12 11:06:21.810000+01:00,Take out samples,iot_event,Take out samples,Patient Left,End,s2s3,['trace_9b3e62a0']
43c47b66-730c-40d3-8eea-a0e1a3565753,Hand hygiene,2024-09-12 11:06:23.468000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,Start,s2s3,['trace_9b3e62a0']
8be3507e-44f7-4691-809c-c826f7910133,Hand hygiene,2024-09-12 11:06:34.528000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,End,s2s3,['trace_9b3e62a0']
8cb172d1-97d7-4091-b5dc-31f38527b671,HCW check-out,2024-09-12 11:06:35.973000+01:00,HCW check-out,iot_event,HCW check-out,Patient Left,Start,s2s3,['trace_9b3e62a0']
8a5a9ee8-e2e3-4588-9ad8-b7265534d906,HCW check-out,2024-09-12 11:06:38.082000+01:00,HCW check-out,iot_event,HCW check-out,Patient Left,End,s2s3,['trace_9b3e62a0']
141d3e19-6b92-4d44-900d-33f126a7e8a1,Donor check-in,2024-09-12 11:08:58.141000+01:00,Donor check-in,iot_event,Donor check-in,Patient Left,Start,s2s4,['trace_74c0c40f']
55e6c126-c02d-45a8-ad4b-6601115fe84d,Donor check-in,2024-09-12 11:08:59.625000+01:00,Donor check-in,iot_event,Donor check-in,Patient Left,End,s2s4,['trace_74c0c40f']
37e8e886-cce9-4a63-bf49-3540877d1576,HCW check-in,2024-09-12 11:09:02.808000+01:00,HCW check-in,iot_event,HCW check-in,Patient Left,Start,s2s4,['trace_74c0c40f']
6e61b5fc-22f8-4887-9cb0-1cf94e1b5870,HCW check-in,2024-09-12 11:09:04.682000+01:00,HCW check-in,iot_event,HCW check-in,Patient Left,End,s2s4,['trace_74c0c40f']
361a25c8-cea3-438f-b8fa-f3bf1702aff2,Hand hygiene,2024-09-12 11:09:05.768000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,Start,s2s4,['trace_74c0c40f']
dbd55bbb-615a-4396-99e0-eee3ccd841ef,Hand hygiene,2024-09-12 11:09:13.917000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,End,s2s4,['trace_74c0c40f']
c7a8f4fe-3b74-41fb-9b0e-36b144ba5255,Check blood drawing machine,2024-09-12 11:09:14.739000+01:00,Check blood drawing machine,iot_event,Check blood drawing machine,Patient Left,Start,s2s4,['trace_74c0c40f']
4646e835-f937-4309-9fb7-09fa23b427ca,Check blood drawing machine,2024-09-12 11:09:16.360000+01:00,Check blood drawing machine,iot_event,Check blood drawing machine,Patient Left,End,s2s4,['trace_74c0c40f']
82849bca-b45c-4da1-b732-9a44211d1030,Apply tourniquet,2024-09-12 11:09:17.752000+01:00,Apply tourniquet,iot_event,Apply tourniquet,Patient Left,Start,s2s4,['trace_74c0c40f']
26795956-97d4-4814-a9a9-d01080ea8c5a,Apply tourniquet,2024-09-12 11:09:30.495000+01:00,Apply tourniquet,iot_event,Apply tourniquet,Patient Left,End,s2s4,['trace_74c0c40f']
b9ab2ba8-855b-4eb9-bee4-d6467555e6fe,Hand hygiene and wear gloves,2024-09-12 11:09:33.783000+01:00,Hand hygiene and wear gloves,iot_event,Hand hygiene and wear gloves,Patient Left,Start,s2s4,['trace_74c0c40f']
f17f03a7-679e-405d-abce-961aa05ddffc,Hand hygiene and wear gloves,2024-09-12 11:10:04.201000+01:00,Hand hygiene and wear gloves,iot_event,Hand hygiene and wear gloves,Patient Left,End,s2s4,['trace_74c0c40f']
9782c748-340e-4ee4-b8dd-78bb28783f40,Disinfect injection site,2024-09-12 11:10:04.699000+01:00,Disinfect injection site,iot_event,Disinfect injection site,Patient Left,Start,s2s4,['trace_74c0c40f']
6f4ff9a7-9e8c-4059-84da-04fd61a2a2e2,Disinfect injection site,2024-09-12 11:10:17.713000+01:00,Disinfect injection site,iot_event,Disinfect injection site,Patient Left,End,s2s4,['trace_74c0c40f']
8ae3ee91-2074-4955-bc18-156f6651a74e,Insert needle,2024-09-12 11:10:22.148000+01:00,Insert needle,iot_event,Insert needle,Patient Left,Start,s2s4,['trace_74c0c40f']
78583b20-d187-498c-af32-95ce4fdf66e7,Insert needle,2024-09-12 11:10:40.827000+01:00,Insert needle,iot_event,Insert needle,Patient Left,End,s2s4,['trace_74c0c40f']
edcc4a35-e6d7-447c-83d2-7534e8a63eaa,Remove tourniquet,2024-09-12 11:10:45.303000+01:00,Remove tourniquet,iot_event,Remove tourniquet,Patient Left,Start,s2s4,['trace_74c0c40f']
eaec1e05-70cb-4d1f-8a8b-c4e8f47c2f7a,Remove tourniquet,2024-09-12 11:10:49.653000+01:00,Remove tourniquet,iot_event,Remove tourniquet,Patient Left,End,s2s4,['trace_74c0c40f']
af261ac7-dae4-4a3e-a57b-d530a8e57aec,Start blood drawing machine,2024-09-12 11:10:51.307000+01:00,Start blood drawing machine,iot_event,Start blood drawing machine,Patient Left,Start,s2s4,['trace_74c0c40f']
8ba1b432-4bbb-4945-ada3-b514fb05dc01,Start blood drawing machine,2024-09-12 11:10:54.420000+01:00,Start blood drawing machine,iot_event,Start blood drawing machine,Patient Left,End,s2s4,['trace_74c0c40f']
af7ba78d-8feb-4f06-8c9c-b96309343ba5,Monitor patient,2024-09-12 11:10:56.597000+01:00,Monitor patient,iot_event,Monitor patient,Patient Left,Start,s2s4,['trace_74c0c40f']
e3c702cf-ee3b-4e21-862d-b283b26f1263,Monitor patient,2024-09-12 11:11:07.005000+01:00,Monitor patient,iot_event,Monitor patient,Patient Left,End,s2s4,['trace_74c0c40f']
137d25fb-93d7-4d81-9846-65c4f4a81653,Stop blood drawing machine,2024-09-12 11:11:11.439000+01:00,Stop blood drawing machine,iot_event,Stop blood drawing machine,Patient Left,Start,s2s4,['trace_74c0c40f']
4f30d9e3-718e-4703-8305-37adea83cc90,Stop blood drawing machine,2024-09-12 11:11:12.846000+01:00,Stop blood drawing machine,iot_event,Stop blood drawing machine,Patient Left,End,s2s4,['trace_74c0c40f']
deb59fce-f902-490c-bc7b-7a997360efed,Remove needle,2024-09-12 11:11:13.675000+01:00,Remove needle,iot_event,Remove needle,Patient Left,Start,s2s4,['trace_74c0c40f']
